|Callsign|Frequency|Service|Channel|Directional Antenna (DA) or NonDirectional (ND)|Hours of Operation for this record - Daytime, Nighttime, or Unlimited|FM Station Class|International Station Class|FM Status|City|State|Country|File Number (Application, Construction Permit or License) or Docket Number (Rulemaking)|Effective Radiated Power -- horizontally polarized  (maximum)|Effective Radiated Power -- vertically polarized  (maximum)|Antenna Height Above Average Terrain (HAAT) -- horizontal polarization|Antenna Height Above Average Terrain (HAAT) -- vertical polarization|Facility ID Number (unique to each station)|N (North) or S (South) Latitude|Degrees Latitude|Minutes Latitude|Seconds Latitude|W (West) or (E) East Longitude|Degrees Longitude|Minutes Longitude|Seconds Longitude|Licensee or Permittee|Kilometers distant (radius) from entered latitude, longitude|Miles distant (radius) from entered latitude, longitude|Azimuth, looking from center Lat, Lon to this record's Lat, Lon|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Horizontally Polarized - meters|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Vertically Polarized - meters|Directional Antenna ID Number|Directional Antenna Pattern Rotation (degrees)|Antenna Structure Registration Number|Height of antenna radiation center above ground level (maximum) (physical center of the antenna)|Application ID number (from CDBS database)

|WLXP        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |SAVANNAH                 |GA |US |BLED   -20051109ACD |5.5    kW |5.5    kW |104.0   |104.0   |81997      |N |32 |3  |48.00 |W |81  |2  |56.00 |CHRISTIAN MULTIMEDIA NETWORK, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |105.   m|105.0  m|64183     |0.      |1021799 |98.9   m|1096709   |
|WNEE        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |PATTERSON                |GA |US |BLED   -20110304ABT |6.     kW |6.     kW |49.0    |49.0    |122086     |N |34 |0  |43.00 |W |83  |17 |38.00 |COMMUNITY PUBLIC RADIO, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |276.   m|276.0  m|100974    |0.      |-       |40.    m|1420805   |
|WRJS        |88.1  MHz |FM |201 |DA  |-                   |C3 |-  |LIC    |SOPERTON                 |GA |US |BMLED  -20120626AAL |0.     kW |12.    kW |0.0     |82.2    |174547     |N |32 |21 |20.00 |W |82  |37 |7.00  |GRACE MISSIONARY BAPTIST CHURCH D/B/A GRACE CHRISTIAN SCHOOL                |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|153.9  m|104106    |0.      |1020320 |86.9   m|1505537   |
|WAY TO GO YOU FOUND THE ERROR        |88.1  MHz |FM |201 |ND  |-                   |C1 |-  |LIC    |THOMASVILLE              |GA |US |BLED   -20120827ACZ |17.    kW |17.    kW |392.0   |392.0   |61193      |N |30 |40 |6.00  |W |83  |58 |10.00 |WAY MEDIA, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |438.   m|438.0  m|-         |-       |1031204 |390.   m|1513159   |
|WJSP-FM     |88.1  MHz |FM |201 |DA  |-                   |C  |-  |LIC    |WARM SPRINGS             |GA |US |BLED   -20131101AGM |100.   kW |100.   kW |461.2   |461.2   |23927      |N |32 |51 |8.00  |W |84  |42 |4.00  |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |723.7  m|723.7  m|110757    |0.      |1018795 |327.7  m|1585489   |
|WLPT        |88.3  MHz |FM |202 |ND  |-                   |C1 |-  |LIC    |JESUP                    |GA |US |BLED   -19960320KA  |20.    kW |20.    kW |244.0   |244.0   |23953      |N |31 |40 |27.00 |W |81  |53 |12.00 |AUGUSTA                                                                     |   0.00 km |   0.00 mi |  0.00 deg |267.   m|267.0  m|-         |-       |1002823 |233.   m|221779    |
|WAWH        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |DUBLIN                   |GA |US |BLED   -20000222ABG |0.4    kW |0.4    kW |25.0    |25.0    |82033      |N |32 |32 |27.00 |W |82  |57 |27.00 |AMERICAN FAMILY ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |105.   m|105.0  m|-         |-       |-       |26.    m|492177    |
|WIVL        |88.3  MHz |FM |202 |DA  |-                   |A  |-  |LIC    |JASPER                   |GA |US |BLED   -20000303AAA |0.2    kW |0.2    kW |1.0     |1.0     |90341      |N |34 |28 |1.00  |W |84  |25 |49.00 |COMMUNITY PUBLIC RADIO, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |451.   m|451.0  m|15517     |0.      |-       |6.     m|691400    |
|WPPR        |88.3  MHz |FM |202 |DA  |-                   |C2 |-  |LIC    |DEMOREST                 |GA |US |BLED   -20080428ABF |7.3    kW |7.3    kW |193.9   |193.9   |23949      |N |34 |31 |24.00 |W |83  |40 |46.00 |GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                |   0.00 km |   0.00 mi |  0.00 deg |610.7  m|610.7  m|76828     |0.      |1020215 |183.   m|1244337   |
|WUTU        |88.3  MHz |FM |202 |DA  |-                   |C3 |-  |CP     |SASSER                   |GA |US |BNPED  -20071015ABU |0.001  kW |12.    kW |47.0    |47.0    |172608     |N |31 |49 |43.00 |W |84  |12 |59.00 |SOUTHWEST PROJECT FOR COMMUNITY EDUCATION, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |137.   m|137.0  m|101583    |0.      |1244096 |50.    m|1397194   |
|WRGC-FM     |88.3  MHz |FM |202 |DA  |-                   |C3 |-  |LIC    |MILLEDGEVILLE            |GA |US |BLED   -20110217AAV |4.8    kW |4.3    kW |117.0   |117.0   |173100     |N |33 |4  |5.00  |W |83  |16 |30.00 |GEORGIA COLLEGE & STATE UNIVERSITY                                          |   0.00 km |   0.00 mi |  0.00 deg |239.   m|239.0  m|81857     |0.      |1020381 |87.    m|1418113   |
