
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|KWMD        |90.1  MHz |FM |211 |ND  |-                   |A  |-  |LIC    |STERLING                 |AK |US |BLED   -20030725AEO |1.2    kW |0.     kW |6.0     |0.0     |93589      |N |60 |29 |16.00 |W |150 |47 |38.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |97.    m|0.0    m|-         |-       |-       |13.    m|672907    |
|KWJG        |91.5  MHz |FM |218 |ND  |-                   |A  |-  |LIC    |KASILOF                  |AK |US |BLED   -19991207AAT |1.     kW |1.     kW |80.0    |80.0    |90213      |N |60 |22 |44.00 |W |151 |11 |30.00 |KASILOF PUBLIC B/G INC                                                      |   0.00 km |   0.00 mi |  0.00 deg |121.   m|121.0  m|-         |-       |1034332 |56.    m|430528    |
|KWDD        |94.3  MHz |FM |232 |ND  |-                   |C1 |-  |LIC    |FAIRBANKS                |AK |US |BLH    -20121101ADC |28.    kW |28.    kW |233.0   |233.0   |190239     |N |64 |55 |21.00 |W |147 |42 |55.00 |LAST FRONTIER MEDIACTIVE, LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |476.   m|476.0  m|-         |-       |1002771 |55.    m|1521694   |
|KWLF        |98.1  MHz |FM |251 |ND  |-                   |C1 |-  |LIC    |FAIRBANKS                |AK |US |BMLH   -20121101ADJ |28.    kW |28.    kW |233.0   |233.0   |6439       |N |64 |55 |21.00 |W |147 |42 |55.00 |LAST FRONTIER MEDIACTIVE, LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |476.   m|476.0  m|-         |-       |1002771 |55.    m|1505651   |
|KWHQ-FM     |100.1 MHz |FM |261 |ND  |-                   |C3 |-  |LIC    |KENAI                    |AK |US |BLH    -20071106AAC |25.    kW |25.    kW |58.0    |58.0    |35636      |N |60 |30 |49.00 |W |151 |11 |19.00 |KSRM, INC.                                                                  |   0.00 km |   0.00 mi |  0.00 deg |91.    m|91.0   m|-         |-       |1002154 |76.    m|1219176   |
|KWVV-FM     |103.5 MHz |FM |278 |ND  |-                   |C  |-  |LIC    |HOMER                    |AK |US |BLH    -19810217AI  |100.   kW |0.     kW |351.0   |0.0     |52145      |N |59 |41 |3.00  |W |151 |37 |51.00 |PENINSULA COMMUNICATIONS, INC.                                              |   0.00 km |   0.00 mi |  0.00 deg |460.   m|0.0    m|-         |-       |-       |116.   m|27835     |
|KWHL        |106.5 MHz |FM |293 |ND  |-                   |C1 |-  |LIC    |ANCHORAGE                |AK |US |BLH    -20130930AXZ |100.   kW |100.   kW |16.0    |16.0    |52672      |N |61 |7  |14.00 |W |149 |53 |42.00 |MCC RADIO, LLC                                                              |   0.00 km |   0.00 mi |  0.00 deg |119.   m|119.0  m|-         |-       |1063079 |93.    m|1576599   |

|WAYH        |88.1  MHz |FM |201 |DA  |-                   |C3 |-  |LIC    |HARVEST                  |AL |US |BLED   -20030307AAO |3.5    kW |3.5    kW |204.0   |204.0   |61509      |N |34 |49 |8.00  |W |86  |44 |19.00 |WAY MEDIA, INC.                                                             |   0.00 km |   0.00 mi |  0.00 deg |443.   m|443.0  m|43090     |0.      |1063576 |62.    m|632470    |
|WKRE        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |ARGO                     |AL |US |BLED   -20110201ABC |0.001  kW |4.     kW |63.0    |63.0    |169863     |N |33 |39 |25.00 |W |86  |26 |4.00  |TBTA MINISTRIES                                                             |   0.00 km |   0.00 mi |  0.00 deg |297.   m|297.0  m|98579     |5.      |1246620 |60.    m|1420786   |
|WSJL        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |BESSEMER                 |AL |US |BLED   -20130322AHX |0.     kW |6.     kW |0.0     |98.0    |88660      |N |33 |23 |45.00 |W |87  |1  |7.00  |ELIJAH RADIO, INC.                                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|254.   m|13374     |0.      |1019712 |66.    m|1564228   |
|WAPR        |88.3  MHz |FM |202 |ND  |-                   |C  |-  |LIC    |SELMA                    |AL |US |BLED   -19960515KC  |0.     kW |53.    kW |0.0     |427.0   |6125       |N |32 |8  |30.00 |W |86  |44 |43.00 |UA-ASU-TSU EDUCATIONAL RADIO CORP.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|503.   m|-         |-       |-       |427.   m|224929    |
|WJCK        |88.3  MHz |FM |202 |DA  |-                   |C3 |-  |LIC    |PIEDMONT                 |AL |US |BLED   -20050630AEC |0.     kW |2.7    kW |0.0     |295.0   |28334      |N |33 |50 |12.00 |W |85  |43 |59.00 |IMMANUEL BROADCASTING NETWORK, INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|556.   m|68508     |0.      |-       |38.    m|1087199   |
|WJUV        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |CULLMAN                  |AL |US |BLED   -20110413AAC |0.     kW |0.088  kW |0.0     |95.0    |177361     |N |34 |12 |20.00 |W |86  |45 |0.00  |DIVINE WORD COMMUNICATIONS, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|344.   m|-         |-       |1246292 |76.    m|1423769   |
|WBHY-FM     |88.5  MHz |FM |203 |ND  |-                   |C1 |-  |LIC    |MOBILE                   |AL |US |BLED   -19920401KB  |33.    kW |33.    kW |190.0   |190.0   |24452      |N |30 |40 |55.00 |W |87  |49 |41.00 |GOFORTH MEDIA, INC.                                                         |   0.00 km |   0.00 mi |  0.00 deg |235.   m|235.0  m|-         |-       |1035772 |174.   m|172245    |
